,1a. open (SAR),1b. open (USD),2a. high (SAR),2b. high (USD),3a. low (SAR),3b. low (USD),4a. close (SAR),4b. close (USD),5. volume,6. market cap (USD)
2020-12-24,87130.75545600,23232.39000000,89238.63027200,23794.43000000,85146.90636800,22703.42000000,88993.99168000,23729.20000000,69013.83425200,69013.83425200
2020-12-23,89299.98681600,23810.79000000,90384.64000000,24100.00000000,84759.04000000,22600.00000000,87132.14310400,23232.76000000,119047.25973300,119047.25973300
2020-12-22,85208.63795200,22719.88000000,89398.65984000,23837.10000000,83834.19136000,22353.40000000,89299.98681600,23810.79000000,87033.12616000,87033.12616000
2020-12-21,87967.65721600,23455.54000000,90395.02860800,24102.77000000,81814.97600000,21815.00000000,85208.00038400,22719.71000000,88030.29724300,88030.29724300
2020-12-20,89340.52864000,23821.60000000,91115.96800000,24295.00000000,86484.22400000,23060.00000000,87967.58220800,23455.52000000,76690.14568500,76690.14568500
2020-12-19,86661.95545600,23107.39000000,90652.68108800,24171.47000000,85321.60000000,22750.00000000,89340.56614400,23821.61000000,86045.06467700,86045.06467700
2020-12-18,85498.43136000,22797.15000000,87328.73907200,23285.18000000,83821.44000000,22350.00000000,86661.95545600,23107.39000000,79646.13431500,79646.13431500
2020-12-17,80016.73420800,21335.52000000,89259.52000000,23800.00000000,79620.99200000,21230.00000000,85498.46886400,22797.16000000,184882.47674800,184882.47674800
2020-12-16,72856.88307200,19426.43000000,80858.62400000,21560.00000000,72302.46144000,19278.60000000,80016.73420800,21335.52000000,114306.33557000,114306.33557000
2020-12-15,72284.04697600,19273.69000000,73395.32800000,19570.00000000,71445.12000000,19050.00000000,72856.88307200,19426.43000000,61834.36601100,61834.36601100
2020-12-14,71913.88249600,19174.99000000,72566.48960000,19349.00000000,71257.60000000,19000.00000000,72281.98425600,19273.14000000,47257.20129400,47257.20129400
2020-12-13,70540.11097600,18808.69000000,72799.01440000,19411.00000000,70174.18444800,18711.12000000,71913.88249600,19174.99000000,56560.82174400,56560.82174400
2020-12-12,67644.20211200,18036.53000000,71065.05446400,18948.66000000,67584.83328000,18020.70000000,70540.11097600,18808.69000000,49519.97843200,49519.97843200
2020-12-11,68462.83942400,18254.81000000,68605.05459200,18292.73000000,65903.26643200,17572.33000000,67644.20211200,18036.53000000,72610.72425900,72610.72425900
2020-12-10,69537.25401600,18541.29000000,69597.37292800,18557.32000000,67173.86444800,17911.12000000,68462.16435200,18254.63000000,52890.67509400,52890.67509400
2020-12-09,68722.74214400,18324.11000000,69905.84332800,18639.57000000,66194.56000000,17650.00000000,69537.21651200,18541.28000000,79585.55380100,79585.55380100
2020-12-08,71883.54176000,19166.90000000,72363.36793600,19294.84000000,68257.28000000,18200.00000000,68722.74214400,18324.11000000,61626.94761400,61626.94761400
2020-12-07,72602.75596800,19358.67000000,72836.18086400,19420.91000000,70893.36115200,18902.88000000,71883.54176000,19166.90000000,41372.29629300,41372.29629300
2020-12-06,71811.38406400,19147.66000000,72832.76800000,19420.00000000,70721.29280000,18857.00000000,72605.49376000,19359.40000000,37043.09186100,37043.09186100
2020-12-05,69946.87270400,18650.51000000,71921.42080000,19177.00000000,69382.40000000,18500.00000000,71811.38406400,19147.66000000,42922.74857300,42922.74857300
2020-12-04,72841.54393600,19422.34000000,73234.06080000,19527.00000000,69627.33862400,18565.31000000,69946.91020800,18650.52000000,71283.66820000,71283.66820000
2020-12-03,72022.98163200,19204.08000000,73500.33920000,19598.00000000,70759.54688000,18867.20000000,72839.89376000,19421.90000000,66689.39127900,66689.39127900
2020-12-02,70376.10598400,18764.96000000,72540.23680000,19342.00000000,68744.83200000,18330.00000000,72023.01913600,19204.09000000,75911.01347800,75911.01347800
